,V1202,V1203,V1204,V1205,V1206,V1207,V1208,V1209,V1210,V1211,V1212,V1213,V1214,V1215,V1216,V1217,V1218,V1219,V1220,V1221,V1222,V1223,V1224,V1225,V1226,V1227,V1228,V1229,V1230,V1231,V1232,V1233,V1234,V1235,V1236,V1237,V1238,V1239,V1240,V1241,V1242,V1243,V1244,V1245,V1246,V1247,V1248,V1249,V1250,V1251,V1252,V1253,V1254,V1255,V1256,V1257,V1258,V1259,V1260,V1261,V1262,V1263,V1264,V1265,V1266,V1267,V1268,V1269,V1270,V1271,V1272,V1273,V1274,V1275,V1276,V1277,V1278,V1279,V1280,V1281,V1282,V1283,V1284,V1285,V1286,V1287,V1288,V1289,V1290,V1291,V1292,V1293,V1294,V1295,V1296,V1297,V1298,V1299,V1300,target
0,0.0,0,0,0.0,0.0,0,0.0,10200.400391,863433.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1041703.5,0.0,8448.544922,0.0,0.0,0.0,0.0,0.0,154044.859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,673048.375,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,0,0,0.0,0.0,0,0.0,0.0,91567.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,15443.132813,0,0.0,765718.0625,0.0,0.0,0.0,0.0,0.0,31324.720703,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13212.991211,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22035.384766,0.0,0.0,0.0,221138.84375,0,0.0,0.0,27667.777344,0.0,0,0.0,35438.351563,0.0,0.0,0.0,0.0,0.0,1
2,0.0,0,0,0.0,0.0,0,0.0,0.0,41171.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,82210.570313,10444.182617,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,756611.5,0.0,0.0,0.0,0.0,0.0,14202.726563,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,256724.84375,0,0.0,0.0,59820.96875,0.0,0,0.0,6384.59082,0.0,0.0,0.0,0.0,0.0,1
3,0.0,0,0,0.0,0.0,0,0.0,0.0,13697.115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21574.085938,0.0,0.0,0,0.0,0.0,0,36673.65625,0,0.0,244691.265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22719.804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,592677.9375,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33255.273438,0.0,0.0,0.0,24034.189453,0.0,0.0,0,0.0,0.0,0,8620.884766,0,0.0,60538.566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2958.347168,0.0,0.0,0.0,0.0,23069.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,464748.1875,0,0.0,0.0,3913.969727,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,45755.21875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,877547.375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,6280.650879,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,515000.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3946148.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25569.294922,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631531.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,270563.09375,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,752688.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,129684.296875,0.0,0.0,0.0,0.0,0.0,0.0,2
7,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,163370.578125,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,21969418.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,733889.25,0.0,0,0,0.0,0.0,96092.054688,0.0,0.0,0.0,0.0,0,42932.78125,0,0.0,25463.441406,453720.1875,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,169025.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,8967045.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,131050.984375,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,210096.421875,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
10,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1089079.375,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5422213.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,105799.804688,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,30475.869141,357042.6875,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
11,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2924306.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,138716.953125,0.0,0.0,0.0,0.0,84861.15625,0.0,831846.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1095946.0,385597.75,0.0,0,0,0.0,0.0,206725.015625,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,169737.0625,0.0,0.0,0,2281683.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37523.351563,0.0,0.0,2
12,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,11981.086914,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,9069184.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,20445.193359,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,69219.953125,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
