0 & airline_passenger_satisfaction.csv & 2000 & 25 & 1 & 
1 & arcene.csv & 200 & 101 & 2 & 
2 & arrhythmia.csv & 452 & 101 & 3 & 
3 & birds_songs.csv & 999 & 100 & 4 & 
4 & Car_Insurance_Claim.csv & 2000 & 20 & 5 & 
5 & CC_FRAUD.csv & 2000 & 19 & 6 & 
6 & clinical_1.csv & 2000 & 16 & 7 & 
7 & CNAE-9.csv & 1000 & 101 & 8 & 
8 & cosmetics.csv & 1472 & 9 & 9 & 
9 & Crop_Agriculture_Data_2.csv & 2000 & 10 & 10 & 
10 & Customer_Behaviour_Survey_responses.csv & 254 & 14 & 11 & 
11 & dataR2.csv & 116 & 11 & 12 & 
12 & Dataset.csv & 1087 & 18 & 13 & 
13 & dataset_10_lymph.csv & 148 & 19 & 14 & 
14 & dataset_11_balance-scale.csv & 625 & 6 & 15 & 
15 & dataset_13_breast-cancer.csv & 286 & 11 & 16 & 
16 & dataset_17_bridges_version1.csv & 107 & 11 & 17 & 
17 & dataset_18_mfeat-morphological.csv & 2000 & 8 & 18 & 
18 & dataset_21_car.csv & 1728 & 8 & 19 & 
19 & dataset_23_cmc.csv & 1473 & 11 & 20 & 
20 & dataset_24_mushroom.csv & 2000 & 24 & 21 & 
21 & dataset_25_colic.ORIG.csv & 368 & 22 & 22 & 
22 & dataset_27_colic.csv & 368 & 17 & 23 & 
23 & dataset_29_credit-a.csv & 690 & 15 & 24 & 
24 & dataset_30_page-blocks.csv & 2000 & 12 & 25 & 
25 & dataset_31_credit-g.csv & 1000 & 22 & 26 & 
26 & dataset_33_cylinder-bands.csv & 540 & 27 & 27 & 
27 & dataset_35_dermatology.csv & 366 & 35 & 28 & 
28 & dataset_36_segment.csv & 2000 & 21 & 29 & 
29 & dataset_3_kr-vs-kp.csv & 2000 & 38 & 30 & 
30 & dataset_48_tae.csv & 151 & 7 & 31 & 
31 & dataset_49_heart-c.csv & 303 & 15 & 32 & 
32 & dataset_50_tic-tac-toe.csv & 958 & 11 & 33 & 
33 & dataset_51_heart-h.csv & 294 & 12 & 34 & 
34 & dataset_53_heart-statlog.csv & 270 & 15 & 35 & 
35 & dataset_54_vehicle.csv & 846 & 20 & 36 & 
36 & dataset_55_hepatitis.csv & 155 & 16 & 37 & 
37 & dataset_56_vote.csv & 435 & 18 & 38 & 
38 & dataset_57_hypothyroid.csv & 2000 & 25 & 39 & 
39 & dataset_58_vowel.csv & 990 & 15 & 40 & 
40 & dataset_59_ionosphere.csv & 351 & 36 & 41 & 
41 & dataset_9_autos.csv & 205 & 20 & 42 & 
42 & dataset_phishing.csv & 1124 & 89 & 43 & 
43 & ddos.csv & 2000 & 43 & 44 & 
44 & delivery_dataset.csv & 2000 & 13 & 45 & 
45 & diabetes.csv & 520 & 18 & 46 & 
46 & diabetes_2.csv & 390 & 14 & 47 & 
47 & early_stage_diabetes.csv & 520 & 18 & 48 & 
48 & eco2_data.csv & 2000 & 8 & 49 & 
49 & economic_crime.csv & 290 & 7 & 50 & 
50 & heart.csv & 303 & 15 & 51 & 
